Lecture,Professor,Concepts,Date
1,Kelvin Fong Xuanyao,,"January 15, 2025"
2,Kelvin Fong Xuanyao,,"January 22, 2025"
3,Kelvin Fong Xuanyao,,"January 29, 2025"
4,Kelvin Fong Xuanyao,,"February 5, 2025"
5,Hyunsoo Yang,,"February 12, 2025"
6,Hyunsoo Yang,,"February 19, 2025"
—,—,Recess Week,"February 26, 2025"
7,Hyunsoo Yang,,"March 5, 2025"
8,Hyunsoo Yang,,"March 12, 2025"
9,Gong Xiao,,"March 19, 2025"
10,Gong Xiao,,"March 26, 2025"
11,Gong Xiao,,"April 2, 2025"
12,Additional Lecture (offset),,"April 9, 2025"
13,Additional Lecture (offset),,"April 16, 2025"
—,—,Reading Week,"April 23, 2025"
